KN012_Gourmet_1-1-1-01	［グルメ］烏丸六角のおかき屋さん				
KN012_Gourmet_1-1-2-01	六角堂の前にある、蕪村庵というお店に行ってきた。				
KN012_Gourmet_1-1-3-01	おかきやせんべいの店なのだが、これがオイシイ。	[著者]	オイシイ	批評＋	おかきやせんべい
KN012_Gourmet_1-1-4-01	のれんをくぐると小さな庭があり、その先に町屋風の店内がある。				
KN012_Gourmet_1-1-5-01	せんべいの箱はデパートみたいな山積みではなく、間隔をあけて陳列されているのがまた良い。	[著者]	間隔をあけて陳列されているのがまた良い	メリット＋	間隔をあけて陳列されているの
KN012_Gourmet_1-1-6-01	さて、このおせんべい、普通に買うと１５枚入りの箱で７３５円と高価なのだが、毎週木曜はお得な日。	[著者]	お得な日	批評＋	木曜
KN012_Gourmet_1-1-7-01	割れたりして商品にならない製品のまじった「無選別」販売があるのだ。				
KN012_Gourmet_1-1-8-01	一袋２００ｇほどで価格は３００円。				
KN012_Gourmet_1-1-9-01	夕方には売切れてしまうので、欲しい人は早めの時間に買いに行ったほうがいい。	[著者]	欲しい人は早めの時間に買いに行ったほうがいい	当為	[蕪村庵]
KN012_Gourmet_2-1-1-01	［グルメ］河原町の居酒屋				
KN012_Gourmet_2-1-2-01	この間先輩たちにつれられ、河原町の居酒屋へ行ってきました。				
KN012_Gourmet_2-1-3-01	ｈｔｔｐ：／／ｗｗｗ．ｈｏｔｐｅｐｐｅｒ．ｊｐ／Ａ＿２０１００／ｓｔｒＪ００００５６９３７．ｈｔｍｌ				
KN012_Gourmet_2-1-4-01	居酒屋、と聞くと酒臭いおじさんばかりのイメージだったのですが、まったくそんなことはなく、うまい一品料理とオシャレなカクテルの、雰囲気のいい店なんですね。	[著者]\n[著者]\n[著者]	うまい一品料理\nオシャレなカクテル\n雰囲気のいい店なんですね	批評＋\n批評＋\n批評＋	一品料理\nカクテル\n雰囲気
KN012_Gourmet_2-1-5-01	結局同じような店を２軒はしごしましたが、いつまででも話のねたは尽きることなく、一晩中話し続けました。				
KN012_Gourmet_2-1-6-01	どちらも２万５千ぐらいかかりましたが、全部おごってもらいましたｗ	[著者]	全部おごってもらいましたｗ	出来事＋	[不定]
KN012_Gourmet_2-1-7-01	やっぱり学生時代、いろんなひとといろんな話を飽きるほどしたいものです。				
KN012_Gourmet_2-1-8-01	このような居酒屋は不可欠ですね。	[著者]	不可欠ですね	批評＋	このような居酒屋[河原町の居酒屋]
KN012_Gourmet_2-1-9-01	おじさんになってもおそらくは上司との付き合いや同僚と語る場として、一生お世話になるのかもしれません。	[著者]	上司との付き合いや同僚と語る場として、一生お世話になるのかもしれません	メリット＋	[河原町の居酒屋]
KN012_Gourmet_2-1-10-01	居酒屋よろしく。	[著者]	居酒屋よろしく。	当為	[不定]
KN012_Gourmet_2-1-11-01	それではまた。				
KN012_Gourmet_3-1-1-01	［グルメ］ちょっと贅沢				
KN012_Gourmet_3-1-2-01	ほんのちょこっとなんだけど、贅沢したいときに何をしますか？				
KN012_Gourmet_3-1-3-01	私は「冬季限定白バラココア・オレ」を買います。				
KN012_Gourmet_3-1-4-01	初めてバンホーテンココアを飲んだときも衝撃でしたが、これは何度飲んでも衝撃です。	[著者]\n[著者]	衝撃でした\n衝撃です	感情＋\n感情＋	バンホーテンココア\n[冬季限定白バラココア・オレ]
KN012_Gourmet_3-1-5-01	なんでこんなに味わいが違うのでしょうか。				
KN012_Gourmet_3-1-6-01	不思議です。				
KN012_Gourmet_3-1-7-01	白バラのただの牛乳はあんまり味の違いがわからなかったです。	[著者]	あんまり味の違いがわからなかったです	批評−	白バラのただの牛乳
KN012_Gourmet_3-1-8-01	残念。	[著者]	残念。	感情−	[白バラのただの牛乳]
KN012_Gourmet_3-1-9-01	あれよりかは特濃ミルクのほうがいいね。	[著者]	いいね	批評＋	特濃ミルク
KN012_Gourmet_3-1-10-01	ちなみに、オレンジジュースはどこのがお好きですか？				
