KN001_Kyoto_1-1-1-01	［京都観光］時雨殿に行った。				
KN001_Kyoto_1-1-1-02	しぐれでん				
KN001_Kyoto_1-1-2-01	２００６年１０月０９日。				
KN001_Kyoto_1-1-3-01	時雨殿に行った。				
KN001_Kyoto_1-1-4-01	８月に嵐山へドクターフィシュ体験で行った時に残念ながら閉館していたのでいつか行こうと思っていた場所である。				
KN001_Kyoto_1-1-5-01	ドクターフィッシュの時とは違い一人旅行のため、待ち合わせ時間のことなどを全く気にすることもなく９時過ぎに出発する。				
KN001_Kyoto_1-1-6-01	嵐山に行くのには、寮の前から嵐山行きのバスが都合よく出ているので、それに乗っかればいいだけだが、この際、京都の路面電車もぜひ試してみたいと考えて、京福電鉄を使うルートで行くことにした。	[著者]\n[著者]	京都の路面電車もぜひ試してみたいと考え\n京福電鉄を使うルートで行くことにした	感情＋\n採否＋	京都の路面電車\n京福電鉄
KN001_Kyoto_1-1-7-01	まずは自転車で三条口へと向かう。				
KN001_Kyoto_1-1-7-02	西大路三条				
KN001_Kyoto_1-1-8-01	御池通りからＪＲ二条駅を通るルートである。				
KN001_Kyoto_1-1-9-01	ＪＲ二条からの道は自転車・歩行者道がやたらと大きくとってあり、昔路面電車が走っていたことを思わせる。				
KN001_Kyoto_1-1-10-01	三条口駅の近くに自転車を止めて京福電鉄へ。				
KN001_Kyoto_1-1-11-01	路面電車は昔の世田谷線の雰囲気を思い出させるものだった。				
KN001_Kyoto_1-1-11-02	東京都・世田谷区				
KN001_Kyoto_1-1-12-01	都市部で通勤化されていない路面電車は珍しいといえるだろうか。				
KN001_Kyoto_1-1-13-01	もちろん京福は観光用だろうし、実際明らかに観光客という乗客をちらほら見かけた。				
KN001_Kyoto_1-1-14-01	乗車率９０％程度だろうか。	[不定]	乗車率９０％程度	採否＋	[京福電鉄]
KN001_Kyoto_1-1-15-01	嵐山に着いてからは足早にお目当ての時雨殿へ。				
KN001_Kyoto_1-1-16-01	細い路地を通り、洒落た料亭の向こうにそれはある。				
KN001_Kyoto_1-1-17-01	時雨殿の外見も周りの料亭に負けていない程’高級’である。	[著者]	外見も周りの料亭に負けていない程’高級’である	批評＋	時雨殿
KN001_Kyoto_1-1-18-01	時雨殿のオフィシャルなデータについては下のリンクを辿ってもらえればと思うが、任天堂資本の百人一首博物館といったところだろうか。				
KN001_Kyoto_1-1-19-01	「任天堂」、「百人一首」どちらの単語も僕の心をくすぐる。	[著者]	どちらの単語も僕の心をくすぐる	感情＋	「任天堂」、「百人一首」
KN001_Kyoto_1-1-20-01	ついこの間山奥で’百人一首神経衰弱’をやったばっかりだったりする。				
KN001_Kyoto_1-1-21-01	中に入ると着物姿のスタッフの方がちらほら。				
KN001_Kyoto_1-1-22-01	最初に目に入るのは、「許諾なき写真禁止」のサインである。				
KN001_Kyoto_1-1-23-01	スタッフのみならず「他のお客様も」というところが徹底している。				
KN001_Kyoto_1-1-24-01	荷物をこれまた料亭にありそうな鍵付きの大きなロッカーに入れて進む。				
KN001_Kyoto_1-1-25-01	１階は、時雨ナビを使って京都の町を探索できる。	[著者]	時雨ナビを使って京都の町を探索できる	メリット＋	[時雨殿]
KN001_Kyoto_1-1-25-02	多くの人がレビューを書いているようにどう見てもニンテンドー○Ｓ				
KN001_Kyoto_1-1-26-01	時雨ナビの無線機能をフルに使って、京都の空中散歩を楽しんだり、百人一首取りに参加したりできる。	[著者]	京都の空中散歩を楽しんだり、百人一首取りに参加したりできる	メリット＋	[時雨殿]
KN001_Kyoto_1-1-27-01	現代技術の精を尽くしたお遊びという印象を深く受けた。	[著者]	現代技術の精を尽くしたお遊びという印象を深く受けた	批評＋	[時雨殿]
KN001_Kyoto_1-1-28-01	でも、それだけにそこらにある京都総合紹介とはちょっともそっとも違うダイナミックさが楽しい。	[著者]\n[著者]	そこらにある京都総合紹介とはちょっともそっとも違うダイナミックさ\n楽しい	批評＋\n感情＋	[時雨殿]\n[時雨殿]
KN001_Kyoto_1-1-29-01	そのほかに、競技百人一首を体験できるところもあって、２回の挑戦の後、パーフェクトを出したりして遊んでいた。	[著者]	競技百人一首を体験できるところもあって	メリット＋	[時雨殿]
KN001_Kyoto_1-1-29-02	５人抜き				
KN001_Kyoto_1-1-30-01	２階は、大きな畳張りになっていて、実際にここで競技百人一首が行われることもあるそうである。	[著者]	実際にここで競技百人一首が行われることもあるそうである	メリット＋	[時雨殿]
KN001_Kyoto_1-1-31-01	展示としては、昔々の百人一首や大戦下の軍国百人一首が飾られていてファンとしては、眺めているだけで幸せといったところだろうか。	[著者]	ファンとしては、眺めているだけで幸せといったところだろうか	感情＋	[時雨殿]
KN001_Kyoto_1-1-32-01	お土産コーナーに１枚４０００円する金板百人一首が販売されていて、買おうか一瞬迷ったが、いったいこれをどうしようか？と冷静になり、香りのついたカードを５００円で買うにとどめた。				
KN001_Kyoto_1-1-33-01	ちなみに金板の百人一首は１セットで８０万円である。				
KN001_Kyoto_1-1-34-01	最後でちょっと面食らったが、幸せな気分で時雨殿を出て、嵐山の町をぶらぶらして同じく京福電鉄にゆせれて帰途に着いた。	[著者]	幸せな気分で	感情＋	[時雨殿]
KN001_Kyoto_1-1-35-01	誰かと嵐山に行ったら一度除く価値はあると思う。	[著者]	一度除く価値はあると思う	批評＋	[時雨殿]
KN001_Kyoto_1-1-36-01	時雨殿				
KN001_Kyoto_1-1-36-02	オフィシャルサイト				
KN001_Kyoto_1-1-37-01	ｈｔｔｐ：／／ｗｗｗ．ｓｈｉｇｕｒｅｄｅｎ．ｃｏｍ／				
KN001_Kyoto_1-1-38-01	純金製　百人一首にサッカーボール				
KN001_Kyoto_1-1-38-02	産経新聞				
KN001_Kyoto_1-1-39-01	ｈｔｔｐ：／／ｗｗｗ．ｓａｎｋｅｉ．ｃｏ．ｊｐ／ｅｎａｋ／２００６／ｊｕｎ／ｋｉｊｉ／２７ｇｏｌｄｅｎＢａｌｌ．ｈｔｍｌ				
KN002_Kyoto_1-1-1-01	［京都観光］丹波マンガン記念館				
