KN001_Keitai_1-1-1-01	［携帯電話］プリペイドカード携帯布教。				
KN001_Keitai_1-1-2-01	もはや’今さら’だが、という接頭句で始めるしかないほど今さらだが、私はプリペイド携帯をずっと使っている。	[著者]	私はプリペイド携帯をずっと使っている	採否＋	プリペイド携帯
KN001_Keitai_1-1-3-01	犯罪に用いられるなどによりかなりイメージを悪化させてしまったプリペイド携帯だが、一ユーザーとしては、かなり使いでがある。	[著者]\n[著者]	犯罪に用いられるなどによりかなりイメージを悪化させてしまった\nかなり使いでがある	メリット−\n批評＋	[プリペイド携帯]\n[プリペイド携帯]
KN001_Keitai_1-1-4-01	かつてはこのような話を友人に振っても、「携帯電話の料金は親が払っているから別に．．．」というにべもない答えが返ってくるばかりだったが、今日において、携帯電話が単なる中高生の「お遊び」的なツールから緊急時の連絡など実用的、現実的な利用目的として認知されるにつれ、さらにこのような傾向が強まることになるだろう。	[著者]\n[不定]	単なる中高生の「お遊び」的なツール\n緊急時の連絡など実用的、現実的な利用目的として認知される	批評−\nメリット＋	[プリペイド携帯]\n[プリペイド携帯]
KN001_Keitai_1-1-5-01	そこで、携帯電話の料金を自分の身銭で払わざる得ない、あるいは得なくなったが所得が少ない、或いはお金を別の部分に使いたいと思っているユーザーのために、というかなり限定された目的をもってこのエントリーはスタートするわけである。				
KN001_Keitai_1-1-6-01	実は、私の使っている携帯電話に最近原因不明の黒い横線が入るようになってしまった。	[著者]	最近原因不明の黒い横線が入るようになってしまった	出来事−	私の使っている携帯電話
KN001_Keitai_1-1-6-02	Ｊ−ＳＡ０６：ｖｏｄａｆｏｎｅ→ｓｏｆｔｂａｎｋ，もちろんプリペイド携帯電話				
KN001_Keitai_1-1-7-01	液晶切れだと思われるのだが修理するとその間の連絡が困るのでそして現実の使用の上ではそんなに困ることもないので、今のものを使いながら完璧に壊れる他の携帯を手に入れようと携帯電話に関する情報を仕入れ始めました。				
KN001_Keitai_1-1-7-02	プリペイドでは代替機を出せませんといわれてしまいました。早くもここに弱点が．．	[著者]	プリペイドでは代替機を出せませんといわれてしまいました	メリット−	プリペイド
KN001_Keitai_1-1-7-03	画面が見えなくなる前に				
KN001_Keitai_1-1-8-01	２年前に買い換えた時とさほど変化はありませんでしたが、結局プリペイドサービスが圧倒的に値段の上では有利だという見解に落ち着きました。	[著者]	圧倒的に値段の上では有利だという見解に落ち着きました	メリット＋	プリペイドサービス
KN001_Keitai_1-1-9-01	ここで私は２つの選択肢を迫られました。				
KN001_Keitai_1-1-10-01	月１５００円〜２０００円の現状維持か、月３０００円超でフツウの携帯ユーザーの仲間入りをするかです。				
KN001_Keitai_1-1-11-01	結局このような結論に落ち着きました。				
KN001_Keitai_1-1-12-01	確かにプリペイドには、いくつかの弱点がある。	[著者]	いくつかの弱点がある	批評−	プリペイド
KN001_Keitai_1-1-13-01	Ｗｅｂが使えない、通話料がやけに高いので電話をわざわざ公衆電話からかけたりする、携帯会社が謳うオトクげなサービスをほとんど受けられない．．．	[著者]\n[著者]\n[著者]	Ｗｅｂが使えない\n通話料がやけに高い\nオトクげなサービスをほとんど受けられない．．．	メリット−\nメリット−\nメリット−	[プリペイド]\n[プリペイド]\n[プリペイド]
KN001_Keitai_1-1-13-02	誕生日割りなど				
KN001_Keitai_1-1-14-01	しかし、これらのサービスは６年間使ってこなかった自分にとっては特に必要でないものであり、これからこの機能が加わったからといって特別ハッピーなわけでもない。	[著者]\n[著者]	特に必要でないものであり\n特別ハッピーなわけでもない	批評−\n批評−	これらのサービス\nこの機能
KN001_Keitai_1-1-15-01	一方、値段の方は確かに年間最大１万８千円程度の開きがあるとは言え、現実的にお金にそうこまっているわけでもないので、ある意味’瑣末な’ことであったりします。	[著者]	値段の方は確かに年間最大１万８千円程度の開きがある	メリット−	[プリペイド]
KN001_Keitai_1-1-16-01	加えて、プリペイドユーザーというものが持つ社会に対するマイナスイメージも考えてみました。				
